country,quarter,PRITHVI_MOISTURE_ANOM,PRITHVI_MOISTURE_STD
EGY,1984-01-01,-4.3103184e-05,-0.9146149
EGY,1984-04-01,-5.549786e-05,-1.17762
EGY,1984-07-01,-3.0362184e-05,-0.6442611
EGY,1984-10-01,-6.389101e-05,-1.355716
EGY,1985-01-01,4.128578e-05,0.87605107
EGY,1985-04-01,-4.2726556e-06,-0.090662315
EGY,1985-07-01,-1.6865088e-05,-0.3578636
EGY,1985-10-01,0.00019032873,4.038623
EGY,1986-01-01,-7.397039e-06,-0.15695922
EGY,1986-04-01,2.0379957e-06,0.04324463
EGY,1986-07-01,-1.0686529e-05,-0.22675957
EGY,1986-10-01,2.6521555e-05,0.5627661
EGY,1987-01-01,8.292671e-06,0.17596382
EGY,1987-04-01,2.2154902e-06,0.04701092
