lat,lon,population
-13.0,-44.0,139495.21617621862
-13.0,-43.0,172172.58151384798
-13.0,-42.0,156527.66548258922
-13.0,-41.0,103822.7495737164
-13.0,-40.0,299995.0018678128
-13.0,-39.0,1116489.4031904796
-13.0,-38.0,2818561.005399028
-12.0,-77.0,11613804.238912195
-12.0,-76.0,126514.13450000601
-12.0,-75.0,922999.0740427012
-12.0,-74.0,68577.27004080507
-12.0,-73.0,14870.723300820704
-12.0,-72.0,2244.813623442628
-12.0,-71.0,1405.8066712389625
-12.0,-70.0,538.4964504427032
-12.0,-69.0,14619.837045444037
-12.0,-65.0,3243.4571237385535
-12.0,-64.0,26576.875261539422
-12.0,-63.0,34193.96823362998
-12.0,-62.0,120900.52538476672
-12.0,-61.0,74564.40223685734
-12.0,-60.0,1905.326835410879
-12.0,-59.0,2103.7211574674475
-12.0,-58.0,16764.23189369005
-12.0,-57.0,15210.85370945042
-12.0,-56.0,199361.8285116986
-12.0,-55.0,86124.38929746952
-12.0,-54.0,6484.971475695249
-12.0,-53.0,2326.8190363397634
-12.0,-52.0,15860.12137341188
-12.0,-51.0,18888.1798567905
-12.0,-50.0,19540.964308978135
-12.0,-49.0,120780.67162785151
-12.0,-48.0,20530.524332309964
-12.0,-47.0,33982.775215593865
-12.0,-46.0,159381.98118898267
-12.0,-45.0,217481.01709827298
-12.0,-44.0,60607.03527831797
-12.0,-43.0,82309.5626001851
-12.0,-42.0,196299.13064403096
-12.0,-41.0,133841.8979702481
-12.0,-40.0,211116.12153907347
-12.0,-39.0,1311478.391765399
-12.0,-38.0,480134.39464737277
-12.0,-37.0,1888.0567734339684
-11.0,-78.0,395082.816288535
-11.0,-77.0,208493.02326826716
-11.0,-76.0,283698.3715929087
-11.0,-75.0,375674.02057523397
-11.0,-74.0,117823.33584635692
-11.0,-73.0,12113.670426550216
-11.0,-72.0,75.38848063537941
-11.0,-71.0,44.070840892144716
-11.0,-70.0,13195.048394938538
-11.0,-69.0,101219.74358551827
-11.0,-68.0,25214.466657741883
-11.0,-65.0,63388.626072768355
-11.0,-64.0,2424.4215181539034
-11.0,-63.0,26435.24662689143
-11.0,-62.0,213121.46746449367
-11.0,-61.0,95963.99056158013
-11.0,-60.0,170.86480105463892
-11.0,-59.0,55693.997538024254
-11.0,-58.0,29147.716502592917
-11.0,-57.0,16531.6402401327
-11.0,-56.0,18652.49387773541
-11.0,-55.0,55084.98997264709
-11.0,-54.0,4386.226183640515
-11.0,-53.0,4456.216486575262
-11.0,-52.0,54960.42959469281
-11.0,-51.0,6993.946402339177
-11.0,-50.0,19280.610888255447
-11.0,-49.0,30820.614816837395
-11.0,-48.0,77864.4048204351
-11.0,-47.0,9197.664702947031
-11.0,-46.0,7523.3509487301635
-11.0,-45.0,60740.41324120492
-11.0,-44.0,43287.81848914141
-11.0,-43.0,97960.58415039808
-11.0,-42.0,236564.05695876334
-11.0,-41.0,169815.16813791572
-11.0,-40.0,324471.4903585869
-11.0,-39.0,405652.83047806734
-11.0,-38.0,662297.4773284021
-11.0,-37.0,1474315.498831822
-11.0,-36.0,424.9594415351752
-11.0,122.0,67663.99538448494
-11.0,123.0,154269.97273651365
-10.0,-78.0,214468.8509581327
-10.0,-77.0,210766.4178130119
-10.0,-76.0,509460.4690998972
-10.0,-75.0,58937.32527340499
-10.0,-74.0,15605.987135566804
-10.0,-73.0,2147.983310973766
-10.0,-72.0,448.99678525907626
-10.0,-71.0,3632.5692976246737
-10.0,-70.0,1487.917626119905
-10.0,-69.0,7374.222771507952
-10.0,-68.0,439196.4685964361
-10.0,-67.0,47093.20373806077
-10.0,-66.0,17051.30707606608
-10.0,-65.0,41059.685264993524
-10.0,-64.0,48076.177521707155
-10.0,-63.0,129821.21099123832
-10.0,-62.0,62332.34092957075
-10.0,-61.0,1852.9294338142051
-10.0,-60.0,8168.888656442033
-10.0,-59.0,31443.05256207748
-10.0,-58.0,22754.620160497056
-10.0,-57.0,19519.00290488788
-10.0,-56.0,84415.38558358386
-10.0,-55.0,88150.53790311853
-10.0,-54.0,11727.309198384115
-10.0,-53.0,1003.3461641754839
-10.0,-52.0,10890.387017779416
-10.0,-51.0,28931.978015520377
-10.0,-50.0,9486.914829914622
-10.0,-49.0,102781.13737051415
-10.0,-48.0,398375.9527398954
-10.0,-47.0,8822.7611537875
-10.0,-46.0,7605.22477385501
-10.0,-45.0,63566.558461561464
-10.0,-44.0,38716.77276969097
-10.0,-43.0,53992.16052408779
-10.0,-42.0,75636.08453160181
-10.0,-41.0,78620.59148333943
-10.0,-40.0,187092.95040445303
-10.0,-39.0,89907.36350835927
-10.0,-38.0,276345.6815711274
-10.0,-37.0,968560.6898077686
-10.0,-36.0,1520822.4519412795
-10.0,119.0,336828.1964889448
-10.0,120.0,264543.86432700726
-10.0,121.0,55272.30489215728
-10.0,122.0,28795.038288716285
-10.0,123.0,19731.334265174624
-10.0,124.0,1197254.7092569587
-10.0,125.0,320883.20936920855
